Lionel Messi,FC Barcelona | Liga BBVA,RW,94
Bartosz Bereszyński,Legia Warszawa | Ekstraklasa,RB,70
Daniel Royer,FC Midtjylland | Superliga,LM,70
Kamil Ahmet Çörekçi,Eskişehirspor | Süper Lig,RB,70
Almog Cohen,FC Ingolstadt | 2. Bundesliga,CDM,70
Fernando Canesín,KV Oostende | Pro League,CAM,70
Turgut Doğan Şahin,Kayserispor | None,LM,70
Joffrey Cuffaut,AS Nancy | Ligue 2,RB,70
Oktay Delibalta,Mersin | Süper Lig,CAM,70
Giulio Ebagua,Como | None,ST,70
Taulant Xhaka,FC Basel | Raiffeisen SL,RB,70
Enes Sağlik,Sp. Charleroi | Pro League,CM,70
Christopher Glombard,Paris FC | None,RB,70
Anthony Losilla,VfL Bochum | 2. Bundesliga,CDM,70
Anton Tinnerholm,Malmö FF | Allsvenskan,RB,70
Haris Radetinac,Djurgårdens IF | Allsvenskan,RM,70
Simone Benedetti,Cagliari | Serie A,CB,70
Jonas Svensson,Rosenborg BK | Tippeligaen,RB,70
Joakim Våge Nilsen,FK Haugesund | Tippeligaen,LB,70
Gonzalo Castellani,Lanús | Primera División,CM,70
Liam Palmer,Sheffield Wed | FL Championship,RB,70
Franco Jara,Olympiakos CFP | Hellas Liga,ST,70
Tim Ream,Fulham | FL Championship,LB,70
Zsolt Korcsmár,Greuther Fürth | 2. Bundesliga,CB,70
Daniel Williams,Reading | FL Championship,CM,70
Juanmi,Southampton | Barclays PL,CAM,70
Cedrick Mabwati,Columbus Crew | MLS,LM,70
Diego Fabbrini,Middlesbrough | FL Championship,CF,70
Gabriel Silva,Carpi | Serie B,LM,70
Yaya Sanogo,Ajax | Eredivisie,ST,70
Emmanuel Mayuka,Southampton | Barclays PL,ST,70
József Varga,NG - FA | Free Agents League,CDM,70
Stalin Motta,La Equidad | Liga Postobón,CAM,70
Ivan Ivanov,FC Basel | Raiffeisen SL,CB,70
Lukas Schmitz,F. Düsseldorf | 2. Bundesliga,LB,70
Willian José,UD Las Palmas | Liga Adelante,CF,70
Joao Rojas,Cruz Azul | LIGA Bancomer MX,LM,70
Aaron Mooy,Melbourne City | A-League,CM,70
Sergi Enrich,SD Eibar | Liga BBVA,ST,70
Kevin Gomis,OGC Nice | Ligue 1,CB,70
Andre Gray,Burnley | Barclays PL,ST,70
Armin Bačinovič,Lanciano | Serie B,CM,70
Flavio Paixão,Śląsk Wrocław | Ekstraklasa,RM,70
Necip Uysal,Beşiktaş JK | Süper Lig,CM,70
Tarık Çamdal,Galatasaray SK | Süper Lig,RB,70
Musa Nizam,Trabzonspor | Süper Lig,LB,70
Shaun Hutchinson,Fulham | FL Championship,CB,70
Sebastián Prediger,Belgrano | Primera División,CM,70
Zequinha,Vitória FC | Primeira Liga,LM,70
Loris Benito,BSC Young Boys | Raiffeisen SL,LB,70
Lerin Duarte,Ajax | Eredivisie,CM,70
Florin Bérenguer,FC Sochaux | Ligue 2,LM,70
Hanno Behrens,1. FC Nuremberg | 2. Bundesliga,CDM,70
Traquina,Belenenses | Primeira Liga,RM,70
Jorge Rodríguez,Tigre | Primera División,LM,70
Thomas Delaney,FC København | Superliga,CM,70
Scott Malone,Cardiff City | FL Championship,LB,70
Ben Marshall,Blackburn Rvrs | FL Championship,RM,70
Iván Pillud,Racing Club | Primera División,RB,70
Marco Rojas,FC Thun | Raiffeisen SL,LM,70
Alan Pulido,Olympiakos CFP | Hellas Liga,ST,70
Timo Perthel,VfL Bochum | 2. Bundesliga,LB,70
Cristian Tănase,NG - FA | Free Agents League,CAM,70
Steven Vitória,Philadelphia | MLS,CB,70
Juan Villar,Real Valladolid | Liga Adelante,RW,70
Adam Matuschyk,Braunschweig | 2. Bundesliga,CDM,70
Mads Fenger,Randers FC | Superliga,CB,70
Evgeniy Makeev,Spartak Moskva | Russian League,CB,70
Sören Brandy,Union Berlin | 2. Bundesliga,ST,70
Emil Salomonsson,IFK Göteborg | Allsvenskan,RB,70
Khaleem Hyland,KVC Westerlo | Pro League,CDM,70
Jóhann Berg Gudmundsson,Charlton Ath | FL Championship,RM,70
Breitner,União da Madeira | None,LW,70
Kamil Wilczek,Carpi | Serie B,ST,70
Adam Smith,Bournemouth | FL Championship,RB,70
John Boye,Sivasspor | Süper Lig,CB,70
Mike Frantz,SC Freiburg | Bundesliga,CF,70
Manuel Gulde,Karlsruher SC | 2. Bundesliga,CB,70
Hervé Bazile,SM Caen | Ligue 1,LW,70
Henrik Dalsgaard,Aalborg BK | Superliga,RB,70
Daniel Villalva,Veracruz | LIGA Bancomer MX,ST,70
Enock Kofi Adu,Malmö FF | Allsvenskan,CDM,70
Teemu Pukki,Brøndby IF | Superliga,ST,70
John Brayford,Sheffield Utd | Football League,CB,70
Zezinho,CD Nacional | Primeira Liga,LW,70
Robert Gucher,Frosinone | Serie B,CM,70
André Fontes,Moreirense FC | Primeira Liga,CM,70
Paulo Tavares,Vitória FC | Primeira Liga,CM,70
Ruslan Kambolov,Rubin Kazan | Russian League,CDM,70
Duje Čop,Málaga CF | Liga BBVA,ST,70
Jeffrén,Real Valladolid | Liga Adelante,RM,70
Ariel Nahuelpan,Pachuca | LIGA Bancomer MX,ST,70
Benjamin Hübner,FC Ingolstadt | 2. Bundesliga,CB,70
Danny Latza,1. FSV Mainz 05 | Bundesliga,CM,70
Peter Pawlett,Aberdeen | Scottish Prem,CAM,70
Jimmy Durmaz,Olympiakos CFP | Hellas Liga,LM,70
Sebastian Eriksson,IFK Göteborg | Allsvenskan,CM,70
Néstor Calderón,Santos Laguna | LIGA Bancomer MX,LM,70
Thiago Cionek,Modena | Serie B,CB,70
Sercan Sararer,F. Düsseldorf | 2. Bundesliga,RM,70
Marco Pappa,Sounders FC | MLS,LM,70
Ahmed Kashi,Charlton Ath | FL Championship,CDM,70
Samuel Geoffroy Camille,SD Ponferradina | Liga Adelante,LB,70
Michael Morrison,Birmingham City | FL Championship,CB,70
Andrea Catellani,La Spezia | Serie B,CF,70
Rodrigo Salinas,Tijuana | LIGA Bancomer MX,RWB,70
Mirco Antenucci,Leeds United | FL Championship,ST,70
Alan Baró,SD Ponferradina | Liga Adelante,CB,70
Mustapha Yatabaré,Trabzonspor | Süper Lig,ST,70
Tomás Costa,Uni. Católica | Camp. Scotiabank,CM,70
Emir Kujović,IFK Norrköping | Allsvenskan,ST,70
Kanu,Terek Grozny | Russian League,CAM,70
Sergey Parshivlyuk,Spartak Moskva | Russian League,RB,70
Jakob Jantscher,FC Luzern | Raiffeisen SL,LM,70
Benjamin Mokulu,Avellino | Serie B,ST,70
Jesús Dueñas,Tigres | LIGA Bancomer MX,CM,70
Claudemir,Club Brugge | Pro League,CM,70
Efe Ambrose,Celtic | Scottish Prem,CB,70
Niall McGinn,Aberdeen | Scottish Prem,RM,70
Mohammed Rabiu,Kuban Krasnodar | Russian League,CDM,70
Kiko Olivas,Girona CF | Liga Adelante,CB,70
Montoro,UD Almería | Liga BBVA,CM,70
Roger Espinoza,Sporting KC | MLS,CM,70
Güray Vural,Akhisarspor | Süper Lig,LM,70
Andy King,Leicester City | Barclays PL,CM,70
Jacob Butterfield,Huddersfield | FL Championship,CM,70
Fernando Navarro,Club León | LIGA Bancomer MX,RB,70
Luciano Fabián Monzón,Boca Juniors | Primera División,LB,70
Dušan Veškovac,Toulouse FC | Ligue 1,CB,70
Óscar Rojas,Toluca | LIGA Bancomer MX,RB,70
Elías Hernández,Club León | LIGA Bancomer MX,RM,70
Levan Mchedlidze,Empoli | Serie A,ST,70
Federico Macheda,Cardiff City | FL Championship,ST,70
Batuhan Karadeniz,Sivasspor | Süper Lig,ST,70
Marc Crosas,Cruz Azul | LIGA Bancomer MX,CM,70
Fabian Espindola,D.C. United | MLS,ST,70
Marcelo Larrondo,Rosario Ctral.  | Primera División,ST,70
Davide Lanzafame,Perugia | Serie B,RW,70
Sander Fischer,Excelsior | Eredivisie,CB,70
Tomasz Kupisz,Brescia | Serie B,RM,70
Eric Lichaj,Nott&#39;m Forest | FL Championship,RB,70
Giuseppe Bellusci,Leeds United | FL Championship,CB,70
José Gonçalves,New England | MLS,CB,70
Bruno Miguel,Estoril-Praia | Primeira Liga,CB,70
Stefano Celozzi,VfL Bochum | 2. Bundesliga,RB,70
Gerardo Flores,Cruz Azul | LIGA Bancomer MX,RB,70
Emanuele Terranova,Sassuolo | Serie A,CB,70
Christian Strohdiek,F. Düsseldorf | 2. Bundesliga,CB,70
Nacer Barazite,FC Utrecht | Eredivisie,CAM,70
Johannes van den Bergh,Hertha BSC | Bundesliga,LB,70
Dario Vidosic,FC Sion | Raiffeisen SL,CAM,70
David Pollet,Sp. Charleroi | Pro League,ST,70
Nicolò Cherubin,Atalanta | Serie A,CB,70
Thuso Phala,NG - FA | Free Agents League,RM,70
Gaetano Berardi,Leeds United | FL Championship,RB,70
Krisztián Németh,Sporting KC | MLS,ST,70
Everton Santos,Ulsan Hyundai | K LEAGUE,RW,70
François Bellugou,FC Lorient | Ligue 1,CB,70
Emir Bajrami,IF Elfsborg | Allsvenskan,RM,70
Dušan Švento,1. FC Köln | Bundesliga,LM,70
Anderson Luís,Estoril-Praia | Primeira Liga,RB,70
Adam Hloušek,VfB Stuttgart | Bundesliga,LB,70
Tomáš Hořava,NG - FA | Free Agents League,CM,70
Radim Řezník,NG - FA | Free Agents League,RB,70
Matt McKay,Brisbane Roar | A-League,CM,70
Tommy Elphick,Bournemouth | FL Championship,CB,70
Václav Procházka,NG - FA | Free Agents League,CB,70
William,Querétaro | LIGA Bancomer MX,LM,70
Nuno Pinto,Vitória FC | Primeira Liga,LB,70
Jermaine Beckford,Preston | Football League,ST,70
Matthew Špiranović,NG - FA | Free Agents League,CB,70
Leandro Grimi,Racing Club | Primera División,LB,70
Robbie Rogers,LA Galaxy | MLS,LB,70
Rouwen Hennings,Burnley | Barclays PL,ST,70
Bruno Urribarri,Rafaela | Primera División,LB,70
Scott Arfield,Burnley | Barclays PL,CM,70
Chris Kum,FC Utrecht | Eredivisie,CB,70
Kim André Madsen,Strømsgodset IF | Tippeligaen,CB,70
Ricardo Faty,Standard Liège | Pro League,CDM,70
Magnus Lekven,Esbjerg fB | Superliga,CM,70
Aydın Karabulut,Bursaspor | Süper Lig,LM,70
David N&#39;Gog,Stade Reims | Ligue 1,ST,70
Bellvis,AD Alcorcón | Liga Adelante,LB,70
Suso Santana,CD Tenerife | Liga Adelante,RM,70
Stephan Fürstner,Union Berlin | 2. Bundesliga,CDM,70
Lasse Nielsen,KAA Gent | Pro League,CB,70
Yannick Djaló,Mordovia Saransk | Russian League,RM,70
Nuno Coelho,FC Arouca | Primeira Liga,CDM,70
Hugo Droguett,CD O&#39;Higgins | Camp. Scotiabank,LM,70
Yerson Opazo,CD Huachipato | Camp. Scotiabank,RB,70
Daniel Larsson,Gaziantepspor | Süper Lig,RW,70
Per Karlsson,AIK Fotboll | Allsvenskan,CB,70
Lee Keun Ho,Jeonbuk FC | K LEAGUE,ST,70
Joseph Akpala,KV Oostende | Pro League,ST,70
Tomané,Vit. Guimarães | Primeira Liga,ST,70
Wason Rentería,La Equidad | Liga Postobón,ST,70
Filip Hološko,Sydney FC | A-League,RM,70
Maynor Figueroa,Colorado Rapids | MLS,LB,70
Victor Bernárdez,SJ Earthquakes | MLS,CB,70
Mark Reynolds,Aberdeen | Scottish Prem,CB,70
Giles Barnes,Houston Dynamo | MLS,CF,70
Sebastián Leto,Lanús | Primera División,CAM,70
Ramón Fernández,CD O&#39;Higgins | Camp. Scotiabank,CAM,70
Daniele Dessena,Cagliari | Serie A,CM,70
Tomasz Jodłowiec,Legia Warszawa | Ekstraklasa,CDM,70
Crespo,Aston Villa | Barclays PL,CB,70
Onur Kaya,Zulte-Waregem | Pro League,LM,70
Matías Cahais,Indep. Medellín | Liga Postobón,CB,70
Ronnie Schwartz,Brøndby IF | Superliga,ST,70
Luca Ceccarelli,Bologna | Serie B,RB,70
László Sepsi,1. FC Nuremberg | 2. Bundesliga,LB,70
Gonzalo Bergessio,Atlas | LIGA Bancomer MX,ST,70
Adrián Colunga,Brighton | FL Championship,ST,70
Kadir Bekmezci,Antalyaspor | None,CDM,70
Mehdi Taouil,Sivasspor | Süper Lig,CAM,70
Rubén Ramírez,Quilmes | Primera División,ST,70
Carpio,Deport. Alavés | Liga Adelante,RB,70
Toquero,Deport. Alavés | Liga Adelante,ST,70
Carlos Esquivel,Toluca | LIGA Bancomer MX,RM,70
Javi Moyano,Real Valladolid | Liga Adelante,RB,70
Francis N&#39;Ganga,Sp. Charleroi | Pro League,LB,70
Wilson Tiago,Querétaro | LIGA Bancomer MX,CM,70
Scott Golbourne,Wolves | FL Championship,LB,70
Marvin Compper,RB Leipzig | 2. Bundesliga,CB,70
Ben Turner,Cardiff City | FL Championship,CB,70
Maxime Baca,EA Guingamp | Ligue 1,RB,70
Kieran Lee,Sheffield Wed | FL Championship,CM,70
Danny Guthrie,Blackburn Rvrs | FL Championship,CM,70
Daniel Adlung,1860 Munich | 2. Bundesliga,CAM,70
Emmanuel Cascione,Cesena | Serie A,CM,70
Oleksandr Iakovenko,Fiorentina | Serie A,LW,70
Luis Venegas,112679 | LIGA Bancomer MX,CB,70
Ángel Reyna,Guadalajara | LIGA Bancomer MX,CAM,70
Sebastien Le Toux,Philadelphia | MLS,RW,70
Yannick Cahuzac,SC Bastia | Ligue 1,CDM,70
Nicolás Domingo,Banfield | Primera División,CM,70
Magnus Troest,Novara | None,CB,70
Adrián Aldrete,Santos Laguna | LIGA Bancomer MX,LB,70
Oliver Fink,F. Düsseldorf | 2. Bundesliga,CDM,70
Dominik Stroh-Engel,Darmstadt | 2. Bundesliga,ST,70
Jan Polák,1. FC Nuremberg | 2. Bundesliga,CDM,70
Steffen Hagen,ODD | Tippeligaen,CB,70
Dmitriy Belorukov,Amkar Perm | Russian League,CB,70
Kyle Lafferty,Norwich City | FL Championship,ST,70
Choi Hyo Jin,Jeonnam Dragons | K LEAGUE,RB,70
Darío Bottinelli,Toluca | LIGA Bancomer MX,CAM,70
Mohammed Fellah,Esbjerg fB | Superliga,RM,70
Matheus Vivian,FC Sochaux | Ligue 2,CB,70
Jack Hobbs,Nott&#39;m Forest | FL Championship,CB,70
Bobby Boswell,D.C. United | MLS,CB,70
Sekou Cissé,KRC Genk | Pro League,LM,70
Miloš Dimitrijević,Sydney FC | A-League,CM,70
Tim Hoogland,VfL Bochum | 2. Bundesliga,RB,70
Thomas Kristensen,ADO Den Haag | Eredivisie,CDM,70
Chris Rolfe,D.C. United | MLS,LM,70
Will Johnson,Portland | MLS,CDM,70
Drew Moor,Colorado Rapids | MLS,CB,70
Kelvin Wilson,Nott&#39;m Forest | FL Championship,CB,70
Jordan Remacle,OH Leuven | None,LM,70
James Perch,QPR | Barclays PL,RB,70
Jonathan Spector,Birmingham City | FL Championship,CB,70
Davide Biondini,Sassuolo | Serie A,CM,70
Daniele Vantaggiato,Livorno | Serie B,ST,70
José Rivas,Tigres | LIGA Bancomer MX,CB,70
Clayton Donaldson,Birmingham City | FL Championship,ST,70
Erwin Hoffer,Karlsruher SC | 2. Bundesliga,ST,70
Kasper Hämäläinen,Lech Poznań | Ekstraklasa,CAM,70
Tobias Weis,VfL Bochum | 2. Bundesliga,CDM,70
Filippo Porcari,Carpi | Serie B,CM,70
Mišo Brečko,1. FC Nuremberg | 2. Bundesliga,RB,70
Zheng Zhi,NG - FA | Free Agents League,CDM,70
Gibril Sankoh,Roda JC Kerkrade | None,CB,70
Mario Sonnleitner,SK Rapid Wien | A. Bundesliga,CB,70
Simone Bentivoglio,Chievo Verona | Serie A,CM,70
Efraín Velarde,Club León | LIGA Bancomer MX,LB,70
Tim Sebastian,RB Leipzig | 2. Bundesliga,CB,70
Toché,Real Oviedo | None,ST,70
Thomas Buffel,KRC Genk | Pro League,RM,70
Carlos Adrián Morales,Monarcas | LIGA Bancomer MX,LB,70
Jakub Rzeźniczak,Legia Warszawa | Ekstraklasa,CB,70
Cristian Săpunaru,NG - FA | Free Agents League,RB,70
Matthew Mills,Nott&#39;m Forest | FL Championship,CB,70
Federico Insúa,Millonarios FC | Liga Postobón,CAM,70
Łukasz Trałka,Lech Poznań | Ekstraklasa,CDM,70
Mihai Roman,Toulouse FC | Ligue 1,RM,70
Hernán Pellerano,Independiente | Primera División,CB,70
Lucas Licht,G. La Plata | Primera División,LB,70
Magnus Wolff Eikrem,Malmö FF | Allsvenskan,RM,70
Dean Marney,Burnley | Barclays PL,CM,70
George Elokobi,Colchester | Football League,CB,70
Koen Persoons,Sport. Lokeren | Pro League,CM,70
Markus Halsti,D.C. United | MLS,CDM,70
Marcel Ndjeng,SC Paderborn | Bundesliga,RM,70
Daniele Corvia,Latina | Serie B,ST,70
Kjetil Wæhler,Vålerenga | Tippeligaen,CB,70
Henning Hauger,IF Elfsborg | Allsvenskan,CDM,70
Ionut Alin Rada,Bari | Serie B,CB,70
Oleg Vlasov,Mordovia Saransk | Russian League,LM,70
Igor Lebedenko,Terek Grozny | Russian League,RM,70
Vitolo,CD Tenerife | Liga Adelante,CDM,70
Juli,Deport. Alavés | Liga Adelante,CAM,70
Acorán,SD Ponferradina | Liga Adelante,RM,70
Dorca,Real Zaragoza | Liga Adelante,CDM,70
Bruno Saltor,Brighton | FL Championship,RB,70
Serdar Özkan,Antalyaspor | None,LM,70
Mauricio Romero,Dorados de Sinaloa | None,CB,70
Lucas Lobos,Toluca | LIGA Bancomer MX,CAM,70
Mariano Pavone,Racing Club | Primera División,ST,70
Paulo Ferrari,Rosario Ctral.  | Primera División,RB,70
Roberto Nanni,Vélez Sarsfield | Primera División,ST,70
Patricio Toranzo,Huracán | None,CAM,70
Michael Kightly,Burnley | Barclays PL,LM,70
Jake Buxton,Derby County | FL Championship,CB,70
Jos Hooiveld,AIK Fotboll | Allsvenskan,CB,70
Matthew Kilgallon,Blackburn Rvrs | FL Championship,CB,70
Lloyd Sam,NY Red Bulls | MLS,RM,70
Jesper Jørgensen,Zulte-Waregem | Pro League,CM,70
Nat Borchers,Portland | MLS,CB,70
Michele Pazienza,Vicenza | Serie B,CDM,70
Christophe Lepoint,Zulte-Waregem | Pro League,CM,70
Mike Magee,Chicago Fire | MLS,ST,70
Sérgio da Silva Pinto,F. Düsseldorf | 2. Bundesliga,CDM,70
Ramon Zomer,Heracles Almelo | Eredivisie,CB,70
Hyun Young Min,Jeonnam Dragons | K LEAGUE,LB,70
Lee Chun Soo,Incheon United | K LEAGUE,LM,70
Rodolfo,Terek Grozny | Russian League,CB,70
Ángel,UD Las Palmas | Liga Adelante,LB,70
Adem Koçak,Sivasspor | Süper Lig,CDM,70
Serkan Balcı,Mersin | Süper Lig,RB,70
İbrahim Öztürk,Sivasspor | Süper Lig,CB,70
Sanharib Malki,Kasimpaşa SK | Süper Lig,ST,70
Marco Donadel,Montreal Impact | MLS,CDM,70
Tyrone Mears,Sounders FC | MLS,RB,70
David López,CD Lugo | Liga Adelante,CAM,70
Rafael Olarra,Audax Italiano | Camp. Scotiabank,CB,70
Achille Emaná,Nástic de Tarragona | None,CAM,70
Peter Niemeyer,Darmstadt | 2. Bundesliga,CDM,70
Andy Reid,Nott&#39;m Forest | FL Championship,CAM,70
Alain Rochat,BSC Young Boys | Raiffeisen SL,CB,70
Johan Cavalli,AC Ajaccio | Ligue 2,CAM,70
Brad Davis,Houston Dynamo | MLS,LM,70
Bartholomew Ogbeche,SC Cambuur | Eredivisie,ST,70
Martin Ericsson,BK Häcken | Allsvenskan,CM,70
Matteo Brighi,Bologna | Serie B,CM,70
Morten Rasmussen,FC Midtjylland | Superliga,ST,70
Kevin McNaughton,Wigan Athletic | FL Championship,RB,70
Kennedy Bakırcıoğlu,Hammarby IF | None,LM,70
Anders Svensson,IF Elfsborg | Allsvenskan,CB,70
Dean Whitehead,Huddersfield | FL Championship,CM,70
Aaron Hughes,Melbourne City | A-League,CB,70
Stefan Ishizaki,AIK Fotboll | Allsvenskan,RM,70
Shaun Wright-Phillips,NY Red Bulls | MLS,LM,70
Massimo Donati,Bari | Serie B,CDM,70
FakePlayer,FUT UNICEF | FUT UNICEF,ST,69
Toni Gorupec,Vitória FC | Primeira Liga,RB,69
Wanderson,CD Nacional | Primeira Liga,ST,69
Sevinho Santos,Ponte Preta | None,ST,69
Vicemte Tófoli,Chapecoense | None,ST,69
Sandro Maceira,São Paulo | None,RM,69
Diogildo Peixe,Santos | None,CAM,69
Macarinho Louro,Vasco da Gama | None,CAM,69
Renaldo Justinho,São Paulo | None,CAM,69
Diegildo Ramos,Santos | None,CDM,69
Ansel Barnisco,Grêmio | None,CDM,69
Nazarinho Rios,Palmeiras | Brazil Campeonato Brasileiro (1),CDM,69
Eltson Marques,Figueirense | None,CB,69
Césario Figueirido,Palmeiras | Brazil Campeonato Brasileiro (1),CB,69
Bernardo Motinho,Santos | None,RB,69
Sérgio Espinho,Palmeiras | Brazil Campeonato Brasileiro (1),RB,69
Paulo Mesqueira,Internacional | None,RB,69
Daguinho Parrela,Grêmio | None,RB,69
Luisinho Conradi,Internacional | None,LB,69
Wagner Orsinho,Coritiba | None,LB,69
Juli Morrinhos,Cruzeiro | None,CAM,69
Antonaldo Laforte,Joinville | None,CAM,69
Enzo Chissano,São Paulo | None,CDM,69
Renatao Baumer,São Paulo | None,LB,69
Alam Araújo,Ponte Preta | None,LB,69
Rijad Bajić,Konyaspor | Süper Lig,ST,69
Rajko Brežančić,AZ | Eredivisie,LB,69
Mauricio Affonso,Al-Shabab | ALJ League,ST,69
Milan Gajić,Bordeaux | Ligue 1,RB,69
Mbilla Etame,Antalyaspor | None,ST,69
Saša Marković,Córdoba CF | Liga BBVA,CM,69
Roniel,Paços Ferreira | Primeira Liga,LW,69
João Costa,Vitória FC | Primeira Liga,RM,69
Nikos Kaltsas,Panathinaikos | Hellas Liga,RM,69
Jonathan Benítez,CD Cobresal | Camp. Scotiabank,LW,69
João Vigário,Vit. Guimarães | Primeira Liga,RW,69
Tendai Ndoro,Orlando Pirates | South African FL,ST,69
Ifeanyi Onyilo,Al-Faisaly | ALJ League,ST,69
Piojo,Tondela | None,ST,69
Yeray,Bilbao Athletic | None,CB,69
Tiquinho Soares,CD Nacional | Primeira Liga,ST,69
Frédéric Guilbert,Bordeaux | Ligue 1,RB,69
Marko Poletanović,KAA Gent | Pro League,CM,69
Dálcio,Belenenses | Primeira Liga,RM,69
Rubén Duarte,RCD Espanyol | Liga BBVA,LB,69
Vincent Janssen,AZ | Eredivisie,ST,69
Omar Colley,Djurgårdens IF | Allsvenskan,CB,69
Xavier,CS Marítimo | Primeira Liga,LW,69
Fabián,Real Betis | Liga Adelante,CAM,69
Menzi Masuku,Orlando Pirates | South African FL,CAM,69
Assane Gnoukouri,Inter | Serie A,CM,69
Jean-Kevin Augustin,PSG | Ligue 1,RW,69
İrfan Can Kahveci,Gençlerbirliği | Süper Lig,CAM,69
Castro,Sporting Gijón | Liga Adelante,ST,69
Motaz Hawsawi,Al-Ahli | ALJ League,CB,69
Jorge Benítez,Cruz Azul | LIGA Bancomer MX,ST,69
Sergiy Bolbat,Sport. Lokeren | Pro League,CAM,69
Stéphane Sparagna,Marseille | Ligue 1,CB,69
Yeimar Gómez Andrade,Rosario Ctral.  | Primera División,CB,69
Andrés Vilches,Colo-Colo | Camp. Scotiabank,ST,69
Marcos Acuña,Racing Club | Primera División,RM,69
Dabney Dos Santos,AZ | Eredivisie,CAM,69
Mariano Barbieri,Fl. Varela | Primera División,LW,69
Luís Aurélio,CD Nacional | Primeira Liga,RW,69
Adam Marušić,KV Kortrijk | Pro League,RM,69
Andreas Bouchalakis,Olympiakos CFP | Hellas Liga,CM,69
Sergej Milinković-Savić,Lazio | Serie A,CDM,69
Tom van Weert,Excelsior | Eredivisie,ST,69
Levy Mokgothu,Kaizer Chiefs | South African FL,LB,69
Rui Correia,CD Nacional | Primeira Liga,CB,69
Filipe Melo,Sheffield Wed | FL Championship,CDM,69
Erdem Özgenç,Bursaspor | Süper Lig,RB,69
Enes Ünal,KRC Genk | Pro League,ST,69
Sezer Özmen,FC Metz | Ligue 1,CB,69
Louis Nganioni,FC Utrecht | Eredivisie,LWB,69
Martin Ødegaard,Real Madrid | Liga BBVA,CAM,69
Strahil Popov,NG - FA | Free Agents League,RB,69
Valentin Lavigne,FC Lorient | Ligue 1,RM,69
Gonzalo Díaz,Godoy Cruz | Primera División,LM,69
Hélder Costa,AS Monaco | Ligue 1,LM,69
Godfred Donsah,Bologna | Serie B,CM,69
Lee Jae Sung,Jeonbuk FC | K LEAGUE,CAM,69
Raúl,CS Marítimo | Primeira Liga,CB,69
Harry Shipp,Chicago Fire | MLS,CAM,69
Jhony Cano,Atlético Huila | Liga Postobón,ST,69
Uroš Đurđević,Palermo | Serie A,ST,69
Michael Barrios,FC Dallas | MLS,RM,69
Nelino Tapia,Uniautónoma FC | Liga Postobón,LB,69
Alessandro Schöpf,1. FC Nuremberg | 2. Bundesliga,CAM,69
Antonio-Mirko Čolak,1. FC K&#39;lautern | 2. Bundesliga,ST,69
Juan Manuel Falcón,FC Metz | Ligue 1,ST,69
Jamal Bajandouh,Al-Ittihad | ALJ League,CDM,69
Ismet Assanti,Terek Grozny | Russian League,LW,69
Joel Pohjanpalo,F. Düsseldorf | 2. Bundesliga,ST,69
Clifford Aboagye,Granada CF | Liga BBVA,CAM,69
Felipe Nicolás Avenatti,Terni | Serie B,ST,69
Roger Martínez,Aldosivi | None,ST,69
Hamari Traoré,Stade Reims | Ligue 1,RB,69
Alex Soares,CS Marítimo | Primeira Liga,CM,69
Cédric Hountondji,Stade Rennais | Ligue 1,CB,69
Kevin Itabel,Tigre | Primera División,RM,69
Jonás Aguirre,Rosario Ctral.  | Primera División,LM,69
Stipe Perica,Udinese | Serie A,ST,69
Dzhamaldin Khodzhaniyazov,Zenit | Russian League,LB,69
Dominic Iorfa,Wolves | FL Championship,RB,69
Saadeldin Saad,NG - FA | Free Agents League,CB,69
Michael Olaitan,FC Twente | Eredivisie,ST,69
Javier Mendoza,G. La Plata | Primera División,LM,69
Stipe Vučur,1. FC K&#39;lautern | 2. Bundesliga,CB,69
José Luis Palomino,FC Metz | Ligue 1,CB,69
Javier Abella,Santos Laguna | LIGA Bancomer MX,RB,69
Aníbal Godoy,SJ Earthquakes | MLS,CDM,69
Mame Thiam,Zulte-Waregem | Pro League,LW,69
Hernán Menosse,Once Caldas | Liga Postobón,CB,69
Bastos,FC Rostov | Russian League,CB,69
Javier Güemez,América | LIGA Bancomer MX,CM,69
Maximilian Philipp,SC Freiburg | Bundesliga,CF,69
Lorenzo Pasciuti,Carpi | Serie B,LM,69
Damián Musto,Rosario Ctral.  | Primera División,CDM,69
Mohamed El Makrini,Odense Boldklub | Superliga,CDM,69
Lucas Bijker,sc Heerenveen | Eredivisie,CB,69
Burgui,RCD Espanyol | Liga BBVA,LM,69
Wout Droste,Heracles Almelo | Eredivisie,RB,69
Nii Plange,Académica | Primeira Liga,RB,69
Fernando Márquez,Belgrano | Primera División,ST,69
Guillermo Farré,Belgrano | Primera División,CM,69
Rodrigo Depetris,Rafaela | Primera División,RM,69
Fabricio Fontanini,San Lorenzo | Primera División,CB,69
Gastón Díaz,Racing Club | Primera División,RB,69
Ciro Rius,Fl. Varela | Primera División,RW,69
Gastón Lezcano,CD O&#39;Higgins | Camp. Scotiabank,LW,69
Juan Caicedo,Indep. Medellín | Liga Postobón,ST,69
Álvaro Ramos,Wanderers | Camp. Scotiabank,RW,69
Rubén Farfán,Uni. de Chile | Camp. Scotiabank,RM,69
Óscar Opazo,Wanderers | Camp. Scotiabank,LB,69
Franz Schultz,Wanderers | Camp. Scotiabank,RM,69
Oscar Benítez,Lanús | Primera División,LW,69
David Llanos,Uni. Católica | Camp. Scotiabank,ST,69
